Nanometers,Reference_Counts,Sample_Counts,Dark_Counts,Reference_Corrected,Sample_Corrected,Absorbance,Absorbance_per_cm
386.3,158.58,76.86,4.44,154.14,72.42,0.328057,0.328057
386.9,158.1,75.84,4.3,153.8,71.54,0.332407,0.332407
387.4,158.7,76.16,4.46,154.24,71.7,0.332678,0.332678
387.9,158.7,76.18,4.36,154.34,71.82,0.332233,0.332233
388.4,158.06,75.48,4.38,153.68,71.1,0.334748,0.334748
389,157.36,74.5,4.06,153.3,70.44,0.337723,0.337723
389.5,157.74,74.4,4.22,153.52,70.18,0.339952,0.339952
390,157.54,74.24,4.26,153.28,69.98,0.340512,0.340512
390.5,156.82,73.74,4.34,152.48,69.4,0.341853,0.341853
391.1,156.48,72.98,4.26,152.22,68.72,0.345389,0.345389
391.6,157.14,73.36,4.4,152.74,68.96,0.345356,0.345356
392.1,157.14,73.08,4.32,152.82,68.76,0.346844,0.346844
392.7,156.66,72.82,4.44,152.22,68.38,0.347543,0.347543
393.2,156.02,71.82,4.12,151.9,67.7,0.350969,0.350969
393.7,156.2,71.92,4.3,151.9,67.62,0.351483,0.351483
394.2,156.24,71.68,4.26,151.98,67.42,0.352998,0.352998
394.8,155.82,71.06,4.28,151.54,66.78,0.355881,0.355881
395.3,155.5,70.24,3.96,151.54,66.28,0.359145,0.359145
395.8,156.46,70.36,4.26,152.2,66.1,0.362213,0.362213
396.3,156.3,70.08,4.24,152.06,65.84,0.363525,0.363525
396.9,155.74,69.58,4.22,151.52,65.36,0.365158,0.365158
397.4,155.42,68.66,4.08,151.34,64.58,0.369856,0.369856
397.9,155.92,68.76,4.14,151.78,64.62,0.370848,0.370848
398.5,156.48,68.54,4.28,152.2,64.26,0.374474,0.374474
399,156.58,68.18,4.32,152.26,63.86,0.377357,0.377357
399.5,156.66,67.34,4.1,152.56,63.24,0.382449,0.382449
400,157.3,67.1,4.2,153.1,62.9,0.386325,0.386325
400.6,157.84,66.86,4.36,153.48,62.5,0.390172,0.390172
401.1,157.9,66.68,4.38,153.52,62.3,0.391677,0.391677
401.6,158.16,66.24,4.14,154.02,62.1,0.394486,0.394486
402.1,159.44,66.54,4.28,155.16,62.26,0.396571,0.396571
402.7,160.32,66.28,4.12,156.2,62.16,0.40017,0.40017
403.2,160.72,65.74,4.18,156.54,61.56,0.405327,0.405327
