Nanometers,Reference_Counts,Sample_Counts,Dark_Counts,Reference_Corrected,Sample_Corrected,Absorbance,Absorbance_per_cm
414.8,190.5,65.38,4.2,186.3,61.18,0.483603,0.483603
415.3,191.3,65.04,4.08,187.22,60.96,0.487307,0.487307
415.8,191.68,64.78,3.94,187.74,60.84,0.489368,0.489368
416.4,191.86,64.1,3.8,188.06,60.3,0.493979,0.493979
416.9,192.86,64.14,3.82,189.04,60.32,0.496092,0.496092
417.4,193.38,63.8,3.6,189.78,60.2,0.498654,0.498654
418,193.72,63.74,3.8,189.92,59.94,0.500854,0.500854
418.5,193.62,63.02,3.4,190.22,59.62,0.503864,0.503864
419,194.4,63.2,3.58,190.82,59.62,0.505232,0.505232
419.5,194.46,63.34,3.44,191.02,59.9,0.503652,0.503652
420.1,194.42,63.26,3.52,190.9,59.74,0.504541,0.504541
420.6,194.2,62.38,3.2,191,59.18,0.508858,0.508858
421.1,195.28,62.68,3.5,191.78,59.18,0.510628,0.510628
421.6,195.32,62.68,3.34,191.98,59.34,0.509908,0.509908
422.2,195.2,62.5,3.4,191.8,59.1,0.511261,0.511261
422.7,195.12,62.08,3.44,191.68,58.64,0.514383,0.514383
423.2,195.88,62.2,3.6,192.28,58.6,0.516036,0.516036
423.8,196.08,62.08,3.66,192.42,58.42,0.517689,0.517689
424.3,195.66,61.66,3.66,192,58,0.519873,0.519873
424.8,195.18,61.18,3.4,191.78,57.78,0.521026,0.521026
425.3,196.12,61.4,3.62,192.5,57.78,0.522653,0.522653
425.9,196.78,61.7,3.68,193.1,58.02,0.522205,0.522205
426.4,197.3,61.86,3.74,193.56,58.12,0.52249,0.52249
426.9,197.3,61,3.64,193.66,57.36,0.528431,0.528431
427.4,198.32,61.32,3.9,194.42,57.42,0.529678,0.529678
428,198.98,61.42,3.92,195.06,57.5,0.5305,0.5305
428.5,199.88,61.18,3.94,195.94,57.24,0.534423,0.534423
429,200.58,60.84,3.78,196.8,57.06,0.537693,0.537693
429.6,201.76,61.4,3.96,197.8,57.44,0.537012,0.537012
430.1,202.86,61.14,3.78,199.08,57.36,0.540418,0.540418
430.6,203.54,61.08,3.9,199.64,57.18,0.543003,0.543003
431.1,203.76,60.54,3.6,200.16,56.94,0.54596,0.54596
431.7,205.7,60.86,3.84,201.86,57.02,0.549023,0.549023
432.2,207.58,61.02,3.84,203.74,57.18,0.551832,0.551832
